Current Factory,Region,Product Name,avg_lead_time,avg_distance,avg_margin_pct,total_units,order_count,cluster,cluster_label
Secret Factory,Pacific,Everlasting Gobstopper,1.71,1704.6378913057224,80.0,6,1,2,Slow
Secret Factory,Pacific,Lickable Wallpaper,4.005,1704.6378913057224,50.0,146,34,1,Congested / High-Risk
Secret Factory,Pacific,Wonka Gum,3.387857142857143,1704.6378913057222,52.0,77,28,1,Congested / High-Risk
Sugar Shack,Atlantic,Fizzy Lifting Drinks,3.305,1146.2628223177703,60.0,9,2,2,Slow
Sugar Shack,Atlantic,Fun Dip,4.5,1146.2628223177703,40.0,4,1,1,Congested / High-Risk
Sugar Shack,Atlantic,Laffy Taffy,3.8000000000000003,1146.2628223177703,62.311557788944725,14,6,2,Slow
Sugar Shack,Atlantic,Nerds,4.18,1146.2628223177703,46.666666666666664,10,4,1,Congested / High-Risk
Sugar Shack,Atlantic,SweeTARTS,4.236,1146.2628223177703,46.666666666666664,24,5,1,Congested / High-Risk
Sugar Shack,Gulf,Fizzy Lifting Drinks,5.4,1269.2106341164183,60.0,4,1,1,Congested / High-Risk
Sugar Shack,Gulf,Fun Dip,2.2,1269.2106341164183,40.0,1,1,0,Fast & Reliable
Sugar Shack,Gulf,Laffy Taffy,5.105,1269.2106341164183,62.311557788944725,11,2,1,Congested / High-Risk
Sugar Shack,Interior,Fizzy Lifting Drinks,2.6100000000000003,585.048415304284,60.0,5,2,0,Fast & Reliable
Sugar Shack,Interior,Fun Dip,2.61,585.048415304284,40.0,3,1,0,Fast & Reliable
Sugar Shack,Interior,Laffy Taffy,1.09,585.048415304284,62.311557788944725,1,1,0,Fast & Reliable
Sugar Shack,Interior,SweeTARTS,3.34,585.048415304284,46.666666666666664,13,4,0,Fast & Reliable
Sugar Shack,Pacific,Fizzy Lifting Drinks,4.99,1496.7229496795958,60.0,3,1,1,Congested / High-Risk
Sugar Shack,Pacific,Laffy Taffy,4.52,1496.7229496795958,62.311557788944725,1,1,1,Congested / High-Risk
Sugar Shack,Pacific,SweeTARTS,3.02,1496.7229496795958,46.666666666666664,4,1,2,Slow
The Other Factory,Atlantic,Hair Toffee,4.43,759.2820505011409,77.77777777777779,5,1,2,Slow
The Other Factory,Atlantic,Kazookles,3.234054054054054,759.2820505011409,7.692307692307693,149,37,3,Moderate
The Other Factory,Gulf,Hair Toffee,0.74,485.7294905704115,77.77777777777779,2,1,0,Fast & Reliable
The Other Factory,Gulf,Kazookles,2.3677777777777775,485.72949057041143,7.692307692307692,78,18,3,Moderate
The Other Factory,Interior,Kazookles,3.212727272727273,572.9492066301639,7.6923076923076925,39,11,3,Moderate
The Other Factory,Pacific,Hair Toffee,3.7649999999999997,1803.7543150327049,77.77777777777779,10,2,1,Congested / High-Risk
The Other Factory,Pacific,Kazookles,3.8573333333333335,1803.7543150327049,7.6923076923076925,105,30,3,Moderate
Wicked Choccy's,Atlantic,Wonka Bar - Milk Chocolate,2.9655555555555555,523.978593707339,64.92307692307692,2336,639,0,Fast & Reliable
Wicked Choccy's,Atlantic,Wonka Bar - Triple Dazzle Caramel,2.871451612903226,523.978593707339,65.33333333333333,2086,558,0,Fast & Reliable
Wicked Choccy's,Gulf,Wonka Bar - Milk Chocolate,3.1577177177177176,860.8444766798304,64.92307692307693,1356,333,2,Slow
Wicked Choccy's,Gulf,Wonka Bar - Triple Dazzle Caramel,3.3481818181818186,860.8444766798306,65.33333333333333,1223,330,2,Slow
Wicked Choccy's,Interior,Wonka Bar - Milk Chocolate,3.529218436873747,1112.497815752173,64.92307692307693,1869,499,2,Slow
Wicked Choccy's,Interior,Wonka Bar - Triple Dazzle Caramel,3.5686031042128605,1112.497815752173,65.33333333333334,1692,451,2,Slow
Wicked Choccy's,Pacific,Wonka Bar - Milk Chocolate,4.736201201201201,2354.945076640005,64.92307692307693,2706,666,1,Congested / High-Risk
Wicked Choccy's,Pacific,Wonka Bar - Triple Dazzle Caramel,4.747352071005917,2354.945076640005,65.33333333333334,2595,676,1,Congested / High-Risk
